study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
11,75,Yes,91,Fail
30,91,No,83,Pass
32,70,Yes,74,Pass
22,61,No,35,Fail
35,98,No,48,Pass
26,77,No,82,Pass
8,76,Yes,70,Fail
22,84,Yes,91,Pass
23,56,No,58,Fail
9,80,No,90,Fail
35,80,No,89,Pass
34,87,Yes,71,Pass
12,58,Yes,80,Fail
34,64,No,91,Pass
11,95,No,78,Fail
20,90,No,77,Pass
34,80,No,47,Fail
21,55,Yes,44,Fail
33,88,No,58,Pass
20,99,No,64,Fail
35,82,Yes,88,Pass
33,61,No,79,Pass
20,83,Yes,62,Pass
34,59,No,92,Pass
10,67,No,44,Fail
4,60,Yes,63,Fail
9,94,Yes,50,Fail
6,89,No,77,Fail
26,64,Yes,55,Fail
35,99,Yes,69,Pass
12,93,No,40,Fail
14,63,No,67,Fail
13,88,Yes,59,Fail
10,79,Yes,38,Fail
26,56,Yes,67,Fail
23,83,No,93,Pass
33,91,Yes,44,Pass
17,82,No,64,Fail
8,90,No,37,Fail
15,57,Yes,63,Fail
16,85,Yes,43,Fail
17,88,Yes,45,Fail
15,79,No,62,Fail
9,79,No,46,Fail
20,84,No,84,Pass
22,84,Yes,55,Fail
32,62,No,87,Pass
17,69,Yes,40,Fail
25,81,Yes,36,Fail
14,77,Yes,42,Fail
21,90,Yes,71,Fail
21,97,Yes,41,Fail
10,82,Yes,41,Fail
26,66,Yes,67,Fail
8,73,No,45,Fail
8,55,No,90,Fail
20,81,Yes,38,Fail
5,74,Yes,41,Fail
26,75,No,73,Pass
6,80,No,73,Fail
33,82,Yes,78,Pass
20,79,No,95,Pass
7,100,No,91,Fail
25,73,Yes,54,Pass
24,92,Yes,69,Pass
16,90,Yes,81,Pass
14,94,Yes,42,Fail
26,93,No,36,Fail
12,77,No,59,Fail
30,97,Yes,84,Pass
5,97,No,91,Fail
13,69,Yes,36,Fail
34,81,No,55,Fail
9,66,Yes,76,Fail
20,76,No,38,Fail
4,95,Yes,65,Fail
18,98,Yes,94,Pass
29,100,No,95,Pass
21,76,Yes,58,Fail
33,90,No,92,Pass
23,67,Yes,75,Pass
35,55,No,87,Pass
30,57,Yes,40,Fail
20,63,Yes,92,Fail
17,99,No,71,Fail
29,79,Yes,67,Fail
13,79,No,70,Fail
6,92,Yes,45,Fail
22,89,No,57,Fail
28,67,Yes,89,Pass
34,82,No,86,Pass
14,88,Yes,46,Fail
13,65,Yes,91,Fail
4,78,Yes,58,Fail
13,93,Yes,43,Fail
24,86,Yes,90,Pass
8,79,No,74,Fail
11,77,No,93,Fail
19,77,No,93,Pass
9,59,Yes,86,Fail
23,71,Yes,45,Fail
25,75,No,60,Fail
16,84,Yes,90,Pass
26,77,No,88,Pass
28,68,Yes,63,Pass
12,82,No,56,Fail
24,72,No,51,Fail
21,69,No,44,Fail
11,72,No,71,Fail
29,80,Yes,70,Pass
30,76,Yes,78,Pass
35,98,Yes,62,Pass
25,58,No,81,Fail
21,90,No,43,Fail
30,85,No,56,Fail
18,95,Yes,77,Pass
21,75,Yes,84,Fail
33,87,No,74,Pass
9,90,Yes,69,Fail
10,64,No,49,Fail
17,93,Yes,80,Pass
30,100,Yes,41,Fail
30,57,Yes,70,Pass
18,85,No,56,Fail
34,71,No,91,Pass
20,57,No,43,Fail
27,71,No,47,Fail
29,74,Yes,72,Fail
30,59,No,65,Pass
24,86,No,77,Fail
15,59,Yes,83,Fail
28,95,Yes,94,Pass
17,56,No,50,Fail
12,87,Yes,85,Pass
35,63,No,58,Pass
29,89,Yes,44,Pass
13,64,Yes,86,Pass
7,97,Yes,52,Fail
15,63,No,69,Fail
12,84,Yes,46,Fail
15,98,Yes,61,Fail
35,89,Yes,54,Pass
27,89,Yes,64,Pass
30,64,No,44,Fail
6,85,Yes,38,Fail
20,76,Yes,45,Fail
9,82,No,47,Fail
14,70,Yes,77,Pass
17,78,Yes,69,Pass
31,82,No,89,Pass
17,74,No,94,Pass
34,60,Yes,82,Pass
9,77,Yes,42,Fail
31,67,No,36,Fail
13,96,No,53,Fail
29,55,No,68,Fail
21,77,No,43,Fail
13,90,Yes,57,Fail
7,99,No,83,Fail
9,84,No,57,Fail
10,72,No,37,Fail
6,59,No,71,Fail
33,94,No,69,Fail
24,63,Yes,41,Fail
14,89,No,36,Fail
8,93,Yes,81,Pass
25,100,Yes,54,Pass
19,75,No,79,Fail
19,87,No,61,Fail
19,93,Yes,63,Fail
11,92,No,72,Fail
5,86,Yes,59,Fail
33,63,No,50,Pass
24,72,No,90,Pass
5,77,Yes,68,Fail
27,68,Yes,70,Fail
29,62,Yes,86,Pass
29,55,Yes,47,Fail
14,88,No,93,Fail
20,65,Yes,48,Fail
11,83,Yes,57,Fail
33,87,Yes,94,Pass
16,96,No,38,Fail
14,96,Yes,52,Fail
22,94,Yes,65,Pass
8,99,Yes,70,Fail
19,86,Yes,69,Fail
29,84,Yes,50,Fail
30,79,Yes,63,Pass
15,65,Yes,45,Fail
25,80,No,76,Pass
33,60,Yes,57,Fail
12,91,Yes,87,Pass
13,98,No,46,Fail
11,63,Yes,87,Fail
35,95,No,77,Pass
26,60,Yes,76,Fail
11,79,Yes,95,Fail
15,74,Yes,36,Fail
15,100,No,72,Fail
